lake,time,depth_m,latitude,longitude,temperature_C,velocity_u_m_s,velocity_v_m_s,velocity_magnitude_m_s,velocity_direction_deg
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34262,8.54499,15.866,0.04058,0.01202,0.04232276928557487,73.50044603709838
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34322,8.54693,15.865,0.04248,0.01,0.04364115488847654,76.75346604269012
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34381,8.54885,15.865,0.04381,0.00856,0.04463843299220975,78.94431100161063
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3444,8.55077,15.865,0.04509,0.00756,0.04571937991705487,80.48205083905124
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34498,8.55268,15.866,0.0463,0.0067,0.04678226159560908,81.76597554787116
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34557,8.55458,15.867,0.04747,0.00578,0.047820594935655075,83.05777550072085
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34616,8.55649,15.867,0.04864,0.00466,0.04886271789411637,84.52742811819478
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34674,8.55839,15.868,0.04971,0.00294,0.04979686435911401,86.61529679232451
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34733,8.56029,15.869,0.04386,-0.00343,0.04399391435187372,94.47162231331899
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34792,8.56219,15.868,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33943,8.54002,15.867,0.01697,0.01645,0.023634369041715498,45.891424336966054
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34004,8.542,15.866,0.02824,0.01716,0.033044866469695414,58.71509548240648
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34065,8.54396,15.864,0.0363,0.01359,0.03876052244229945,69.47509660877287
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34125,8.54591,15.863,0.0399,0.01098,0.041383213988282735,74.61373655760272
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34185,8.54785,15.863,0.04199,0.00922,0.04299033030810533,77.61575052962412
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34244,8.54977,15.863,0.04356,0.00804,0.044295769549698535,79.54243919099567
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34303,8.55169,15.864,0.04486,0.00717,0.04542937926056221,80.91918785687201
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34362,8.5536,15.864,0.04582,0.00625,0.04624429586446311,82.23260194661195
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34421,8.5555,15.865,0.04662,0.00519,0.04690800038372986,83.64766846060418
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34479,8.5574,15.866,0.04727,0.00375,0.04741851326222702,85.46413941628788
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34538,8.5593,15.867,0.04795,0.00153,0.04797440359191555,88.17241272096351
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34597,8.5612,15.868,0.04786,-0.00228,0.04791427762160252,92.72744855976299
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34656,8.5631,15.866,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33807,8.54095,15.864,0.01771,0.01537,0.023449541573344244,49.04622639937162
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33868,8.54292,15.863,0.03136,0.01514,0.03482340017861553,64.22965051406851
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33929,8.54488,15.862,0.03647,0.01266,0.03860487663495378,70.85634130021248
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33989,8.54683,15.861,0.03927,0.01012,0.04055301838334602,75.54912326071343
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34049,8.54876,15.861,0.04135,0.00835,0.0421846536076806,78.58352040655974
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34108,8.55068,15.861,0.043,0.00716,0.04359203596988789,80.54632099292151
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34167,8.5526,15.862,0.04422,0.00624,0.04465810116876892,81.96787627266764
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34226,8.55451,15.863,0.04509,0.0053,0.04540041960158518,83.2960613847525
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34286,8.55641,15.864,0.04573,0.00417,0.04591973214207592,84.78975601157096
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34345,8.55831,15.864,0.04622,0.00261,0.046293633471569284,86.76799357330351
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34404,8.56022,15.866,0.04708,0.0005,0.04708265498036405,89.39152904050695
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34463,8.56212,15.866,0.04761,-0.00272,0.04768763466560278,93.26980248087908
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34522,8.56401,15.865,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33671,8.54187,15.861,0.02101,0.01324,0.024833801561581346,57.781849594354966
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33733,8.54384,15.86,0.03224,0.01348,0.03494464193549563,67.30950543966118
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33794,8.54579,15.859,0.03656,0.0115,0.038326017272865706,72.53895725294653
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33854,8.54774,15.859,0.03884,0.00909,0.03988951867345606,76.82774414443325
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33914,8.54967,15.859,0.04077,0.00733,0.04142368646076783,79.80773335171092
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33974,8.55159,15.859,0.0424,0.00607,0.042832288054690706,81.85287179315344
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34033,8.5535,15.86,0.04357,0.005,0.04385595626593952,83.45349644034737
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34092,8.55541,15.861,0.04436,0.00396,0.044536403087811205,84.8987500303062
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34152,8.55732,15.862,0.04493,0.00274,0.04501347020615051,86.5102102775519
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34211,8.55922,15.863,0.04541,0.00125,0.0454272011024232,88.42321860748498
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3427,8.56112,15.864,0.04639,-0.00051,0.04639280332120489,90.62987002375614
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3433,8.56302,15.865,0.04728,-0.00283,0.047364620762759206,93.42541934158169
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34389,8.56492,15.863,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33537,8.54278,15.859,0.02381,0.00954,0.02565010136432213,68.165406832706
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33599,8.54475,15.857,0.0331,0.01163,0.03508371274537517,70.64058939726887
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3366,8.5467,15.856,0.03675,0.01028,0.03816072457383376,74.37221180461788
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3372,8.54864,15.856,0.03868,0.00801,0.039500664551371786,78.30034503272944
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3378,8.55057,15.857,0.04031,0.00613,0.040773434979162596,81.3531963336032
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3384,8.55249,15.858,0.0418,0.00475,0.0420690206684206,83.51692630710276
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.339,8.55441,15.858,0.04297,0.00356,0.04311721813846529,85.26394679881786
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.33959,8.55632,15.859,0.04377,0.00234,0.04383250506188302,86.93980781837841
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34019,8.55822,15.86,0.04425,0.001,0.044261297992715935,88.70540048183572
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34079,8.56012,15.861,0.04458,-0.00055,0.04458339264793562,90.70684342804664
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34138,8.56202,15.863,0.04545,-0.00194,0.04549138489868164,92.44414478572412
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34198,8.56392,15.863,0.0465,-0.0029,0.04659034234688558,93.56866323037683
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34257,8.56582,15.862,,,,
